0,1
课程内容挺枯燥的，慎重选择。,bad
第二节课下课到第一排去签到，有一次参观实验，期末交实验报告，最后开卷考试，可以带电脑看ppt，90+无压力,good
给分无敌好，实验期末都是照抄,good
课程内容有点无聊，会经常签到，有一个实验报告，期末开卷考试，给分非常好,good
给分非常高，期末开卷，有题库，照抄，中间有次实验，很水，强烈安利这门课。,good
比较轻松，期末开卷,good
一次实验报告，给分很好,good
做一次实验，交一下报告，期末开卷考试，可以带电脑，给分高,good
老师人很好，期末开卷考试有题库，可以带手机或电脑，直接抄就行了,good
挺好,good
老师人很好了，提前给题库，考试前交一次实验报告,good
很水,bad
有个实验课要签到写实验报告，考试开卷考给题库可以带电脑,good
水课，给分超高,bad
高分,good
给分很不错，有题库可以提前准备考试，每次都签到但是可以代签,good
老师人特别好，给分超级高,good
老师超级温柔，人超级好，虽然讲课内容不是那么有趣，但是给分特别特别特别好！每次都去肯定有95+,good
全校第三的水课……,bad
可以代签到，给分很高。,bad
给分确实不错,good
给分非常好,good
给分很高，但是此次签到点名，估计占比比较多,good
开卷考，考的都是老师给的资料里的题。极力推荐！！,good
给分很好，最后开卷考试公邮里会有答案,good
超无聊的啦，但是给分特别好,good
96，，老师讲课无聊，不过不点名，期末开卷考试，要去做一次实验，交一份实验报告,good
冲着给分去的。。。授课质量就不说了吧。第一节课之前告诉自己学学汽车方面的知识也不错，结果实在是撑不下去，老师的声音真的好催眠，好几节课直接睡着了。完全冲着给分。,good
给分太美好,good
给分十分好！刷分课,good
开卷考试，给分好,good
开卷考试,good
可以学到东西最后轻松90+,good
不点名,good
不点名，最后99，良心代码课，必选！,good
老师超级好，大学四年目前最好的选修课老师,good
给分很好，不点名，认真听也能学一些,good
有好队友轻松90+,good
老师人超好的，只要好好考试，不用担心不会90,good
3次作业，期末开卷，轻松90+,good
没有基础的听着会有点吃力，不点名，闭卷考试，有三次作业，上课做好笔记，老师很好,good
简单易懂，期末考试与作业容易，给分高，不签到,good
给分不错~,good
很好的老师,good
老师人很好，平时有三次作业需要交，期末开卷考试，考试题老师都是讲过的~,good
没学过c语言的找好队友帮忙就行了……去机房的课要交作业所以必须去，但从来不点名,good
觉得老师讲得还不错，上机上过好几次,good
提前给期末考试的题目，但是我被卡在了89，好气啊,bad
会有练习，考试内容老师讲过的，老师人很好，94,good
真的超级好，上机作业做好，期末会提前给大部分题目，给分超级高,good
两次作业，期末开卷考试，老师上课认真，人很好，给分特别好,good
很棒，考试可抄,good
最后开卷考试，很轻松,good
最后交一篇论文就好啦，老师也好，比较轻松,good
最后一堂课点名算平时分，考试还好，可以学到东西,good
老师真是好极了,good
最后一次签了一次到，期末的题目基本上会提前告诉,good
真的给分非常好，文科无压力,good
从不点名，没有作业，开卷考试，分数很高,good
不点名，没作业，开卷原题，给分高,good
一次实验报告，开卷考试，简单，给分好,good
开卷考试，,bad
还行,good
很好的老师，不点名，我翘过两次课,good
考试不会为难大家，开卷,good
课堂内容没怎么听，期末考核为实验报告，参观基地，这个很好玩，学了不少东西。,good
中间有一次实验，填写一次实验报告。开卷考试，会给资料，给分可以。,good
一份实验报告，有平时接触不到的知识，最后开卷考试，老师很好,good
老师很认真，小组展示，论文,good
无情高分,good
老师人挺好，课有点无聊，一次实验，交份报告（实验指导老师人超好），期末开卷，最后一题小论文，会提前一节课给思路，给分还好，88,good
上课看片，提前了解一下汽车，不过有点无聊，正在学车的可以去上上，考试开卷考，有资料,good
坑，给分就这样,bad
给PPT开卷考试,good
有一次在工学部的实验，挺有意思，考试是给的习题集里面选题加一个小论文（提前给），开卷，简单,good
作为了解汽车结构的很有用，有一次到实验室去很好玩。最后开卷考试,good
